chr3R	5465630	5467101	RpL35A	1472	-
chr3R	9400237	9401226	RpL34b	990	-
chr3R	9778042	9779528	RpS29	1487	+
chr3R	11210247	11211898	Tctp	1652	+
chr3R	14326947	14327735	ATPsynE	789	+
chr3R	16349404	16350801	Manf	1398	+
chr3R	17630717	17645262	CG43175	14546	+
chr3R	20056418	20059750	CG4390	3333	-
chr3R	20822181	20823356	RpS20	1176	+
chr3R	20850516	20851427	RpS30	912	+
chr3R	23358812	23360207	RpS3	1396	+
chr3R	25245955	25247514	RpS27	1560	-
chr3R	25683623	25685051	RpL27	1429	-
chr3R	26058420	26059267	RpL34a	848	-
chr3R	27922821	27924888	RpL4	2068	+
chr3R	29861582	29863902	RpS8	2321	+
chr3R	30004785	30010352	Nlp	5568	+
chr3R	30045229	30046161	RpL32	933	-
chr3R	30206447	30209020	RpS7	2574	-
chr3R	30210874	30211273	CecA1	400	+
chr3R	31745172	31746077	awd	906	-
chr3L	1331744	1332326	msd1	583	+
chr3L	1666288	1668654	RpL23A	2367	-
chr3L	3220911	3222960	RpL28	2050	-
chr3L	3223341	3224650	eIF1	1310	+
chr3L	7240203	7241351	RpL18	1149	-
chr3L	8601006	8602392	RpL14	1387	+
chr3L	9509793	9511531	RpS9	1739	-
chr3L	9510017	9510889	asRNA:CR45874	873	+
chr3L	11822851	11824211	RpL10Ab	1361	+
chr3L	13023352	13024762	RpS12	1411	+
chr3L	16804994	16819532	nudC	14539	+
chr3L	17425477	17426282	CG7630	806	+
chr3L	17654617	17655645	CG7484	1029	+
chr3L	20000644	20002446	Tom20	1803	+
chr3L	21538859	21539447	COX8	589	-
chr3L	23339326	23345936	ND-MLRQ	6611	+
chr2R	4186835	4188127	RNASEK	1293	-
chr2R	4515388	4516458	RpL38	1071	-
chr2R	8900241	8900617	CG13751	377	+
chr2R	9587193	9587989	RpL31	797	+
chr2R	10810556	10810936	CG7637	381	-
chr2R	10821676	10822399	RpS15Ab	724	+
chr2R	12199024	12200815	RpS11	1792	-
chr2R	13570595	13572759	CG42807	2165	-
chr2R	14215096	14216627	RpS23	1532	-
chr2R	14749223	14750165	AttB	943	+
chr2R	16570112	16571230	RpS15	1119	-
chr2R	16772785	16773915	Sod2	1131	-
chr2R	16868222	16869280	eEF1beta	1059	+
chr2R	17633797	17634167	Oxp	371	-
chr2R	18833372	18834775	CG15098	1404	-
chr2R	19442342	19443825	RpL11	1484	+
chr2R	20263979	20264848	RpS18	870	+
chr2R	21293768	21294404	RpL29	637	+
chr2R	21685283	21686201	eIF3k	919	+
chr2R	22605745	22607995	RpS16	2251	+
chr2R	22640526	22641419	RpS24	894	-
chr2R	23548239	23548982	levy	744	+
chr2R	24057798	24059483	eEF5	1686	+
chr2R	24060378	24061860	RpL12	1483	+
chr2R	24061853	24062431	RpL39	579	-
chr2R	24903416	24903935	RpL41	520	-
chr2R	24967877	24969547	RpL19	1671	-
chrX	628338	629483	RpL36	1146	-
chrX	5672401	5673547	RpL35	1147	+
chrX	6741537	6744238	RpL17	2702	-
chrX	7933742	7934677	RpS14a	936	+
chrX	7934898	7935792	RpS14b	895	+
chrX	9070318	9078499	CG44325	8182	-
chrX	9159514	9160052	CG9034	539	-
chrX	9554623	9555661	RpS28b	1039	+
chrX	10780893	10786958	sesB	6066	-
chrX	13335637	13337705	RpS15Aa	2069	-
chrX	15137870	15139367	RpL37a	1498	-
chrX	15847859	15849258	sun	1400	-
chrX	15985473	15986808	ND-20	1336	-
chrX	16286288	16286988	UQCR-14	701	+
chrX	16293853	16297718	CG9911	3866	-
chrX	16317673	16320370	Cyp1	2698	-
chrX	16637894	16639249	RpS19a	1356	+
chrX	19598031	19599806	RpS10b	1776	+
chrX	23211192	23213166	18SrRNA-Psi:CR41602	1975	+
chr2L	419952	420864	RpLP1	913	+
chr2L	2856070	2857029	RpS21	960	+
chr2L	4227699	4228561	RpL40	863	+
chr2L	4457186	4458364	RpL27A	1179	-
chr2L	5070957	5072055	RpL37A	1099	+
chr2L	6489090	6490194	epsilonCOP	1105	+
chr2L	6557800	6559308	COX5B	1509	+
chr2L	8161796	8162452	Acbp1	657	-
chr2L	8211347	8211938	Ssb-c31a	592	+
chr2L	8363477	8364662	RpS13	1186	-
chr2L	9699791	9700459	hoip	669	+
chr2L	9896265	9897552	RpS2	1288	-
chr2L	10408352	10410456	RpS27A	2105	+
chr2L	11002758	11004189	RpL9	1432	-
chr2L	16719932	16722644	Cyt-c-p	2713	+
chr2L	16731180	16732133	Prosbeta4	954	-
chr2L	18441335	18443277	RpS26	1943	-
chr2L	18951006	18951837	Nedd8	832	-
chr2L	19008031	19009306	RpL30	1276	-
chr2L	20461585	20463444	CG2493	1860	-
chr2L	20924975	20926147	RPA2	1173	-
chr2L	22247111	22247875	RpL21	765	-
chr4	65225	67207	RpS3A	1983	-
