#'chr'	'start'	'end'	'IgG'	'METTL3'	'PolII'
chr2L	159032	203397	12.538049300057123	29.03679620888787	17.039476805488917
chr2L	210735	250823	13.422616200687244	26.449919522003515	19.034037772255797
chr2L	431227	448701	15.63212138849093	17.743224652175538	18.309451000812317
chr2L	458876	472200	19.329594847810018	45.30217008275985	29.75443001713188
chr2L	476446	479688	16.975409623463094	41.03798680965116	39.954176466430184
chr2L	870465	877038	14.446880730846182	28.2977265678943	55.38258878387173
chr2L	1008378	1048053	14.103780991440715	11.531066909353182	8.13767258767187
chr2L	1049674	1077815	15.422094327387581	14.146819758456214	14.454325883188922
chr2L	1380086	1420453	16.71508133566395	16.71995482950185	10.324396504512412
chr2L	1651258	1704682	15.891012567847298	26.688894822375108	21.23394749483858
chr2L	1716244	1724388	7.797959800396727	22.40678233503665	19.62786349613212
chr2L	1884622	1944289	8.804777206054665	10.212257799773846	7.72069390272095
chr2L	2156484	2178754	12.32966351158334	38.41529076068184	31.63890800793918
chr2L	2885929	2954406	8.630831209713477	12.911541831823024	10.051159798351375
chr2L	3622074	3656953	10.465325739589064	16.922978096445984	18.54643492255501
chr2L	3872646	3902860	7.353692428941279	10.9399300082011	8.049289243122871
chr2L	4361925	4380716	9.535966038492003	14.051896823433273	12.853728526411468
chr2L	5100877	5207002	12.799916743219809	13.98256287880252	13.422030309087976
chr2L	5315290	5326683	9.472504846736513	13.485268753264712	9.359256453804322
chr2L	7069536	7084635	10.697558185290092	12.431895416282703	13.370413636634217
chr2L	7098188	7157695	9.444463945694663	9.679358225123597	6.413175617575136
chr2L	7204538	7220033	7.750947493856365	13.77932437837532	12.415240310942112
chr2L	7472513	7496307	14.223087028712733	13.993204126181617	12.906726483708189
chr2L	7891187	7984196	11.91066741826876	14.148909587032033	10.481152128171091
chr2L	8687226	8709611	12.109034625161694	28.052192778045047	28.246435126371207
chr2L	8825645	8829670	11.470397091229616	29.046190277114192	22.536532306763284
chr2L	9125737	9163721	8.470712910626544	9.507064283764587	9.800637387286072
chr2L	9166778	9250211	8.816011143625731	13.710352639847224	10.290820182129458
chr2L	9495474	9520696	9.967548935327233	13.394137481301492	9.983295569391414
chr2L	9934767	9938134	14.228338829901329	14.203782056045917	15.81535914970314
chr2L	11794327	11809438	14.628352830827055	51.24547049715215	36.56169950357756
chr2L	12455540	12546611	7.820449889786561	16.259757232246315	11.014160906247161
chr2L	12817000	12822787	12.888924585196802	15.826441351309994	23.834315562243074
chr2L	13021868	13060140	12.918555691215287	14.998984721359847	15.577405445465411
chr2L	13550139	13639411	10.766862447917992	12.951847488457814	11.014366513626221
chr2L	16263556	16287730	12.00077263625962	42.0830844471912	31.49153014130252
chr2L	16508078	16532877	12.99644612892668	35.07610273572445	31.455073297620544
chr2L	16545016	16663218	10.441544589506705	15.985622286027755	9.022390269488183
chr2L	17384700	17409698	16.765315756514703	16.962875635820097	18.403703026801903
chr2L	17436830	17450364	17.051669635316774	17.16805338371452	21.973008620785905
chr2L	18532025	18590342	11.469145320801115	12.736984900461906	12.699719889796484
chr2L	18617256	18661776	12.846970006018172	14.96544685300972	12.535673501717351
chr2L	20311219	20348386	14.519746846855792	15.860116580518207	17.195817933193617
chr2L	20734609	20750941	13.601629224270352	28.94603419109457	21.40866950053628
chr2L	20797715	20814331	10.655766799371667	19.162907545788098	15.348831335622853
chr2L	20871335	20918931	13.652154345773447	16.846868412477328	11.705979224833737
chr2L	21221312	21232059	15.690922238488664	13.42750489738639	14.594260801463975
chr2L	21740041	21757466	11.164915411781822	15.151711334979584	17.325199749538047
chr2L	22981816	22992951	12.807484712298487	9.805708033518648	8.233168178204723
chr2R	4691672	4729017	10.434188770371412	7.831682210293742	6.319380860610023
chr2R	6087873	6169087	13.121066587037237	41.862979210309675	19.609623019719933
chr2R	6214568	6240602	11.115988886948061	24.219502262443438	33.18016995618778
chr2R	7317924	7381899	15.996185900989216	14.981885191749846	11.083123497033437
chr2R	7676540	7698902	10.870565003246236	16.275152123921245	17.79601620261679
chr2R	7737019	7782637	9.385485822387695	19.30666532787299	16.44960285294094
chr2R	9123304	9132030	13.888456760795004	22.171468183611314	29.677188980250595
chr2R	9503765	9541565	14.529938138133794	14.68507028165898	12.379320736793755
chr2R	10269016	10307024	12.367932918063568	15.01209130678742	14.882623583299546
chr2R	10481894	10543291	11.145127356523696	22.39302010280224	20.8341874127693
chr2R	10557888	10617280	14.489579235477454	54.706502898616556	23.972663983672668
chr2R	10977956	11116378	14.09988679397752	17.93326593438043	11.8387941704921
chr2R	11452043	11465270	9.14277386764904	9.566392528105846	9.072021197851454
chr2R	11577485	11616045	11.164146978802712	29.99472057570591	18.811166051102276
chr2R	11712263	11726345	9.02051979611176	10.15118319948002	9.50908211456429
chr2R	12705172	12751545	9.650048554234003	12.605804660986827	9.987429283150037
chr2R	12965997	12980994	9.942529674990661	18.858277785364766	17.056675720545787
chr2R	13819624	13824553	10.269969576912981	27.77518326741877	20.530187516906743
chr2R	13864237	13942110	13.791202157502848	12.881787936031998	11.996281596609935
chr2R	13943387	13958089	10.34729064528075	25.470517146973968	24.952073279211568
chr2R	13972984	13980165	11.481412739440893	20.49683710619905	22.4872291754006
chr2R	13991203	14060356	8.832584037082977	17.51483802379721	13.392240659083805
chr2R	14060456	14140902	10.375384920113463	9.409933623950296	5.7927576192064985
chr2R	14526267	14587917	9.688557778969486	9.09865245940306	6.613312895078333
chr2R	14671396	14713622	9.548517904263099	7.91227278437421	5.542644425475052
chr2R	14860936	14871071	9.60830790297085	10.776668287328706	12.988303808890578
chr2R	15762565	15817004	11.30697543992792	11.281030880582382	8.32378219941376
chr2R	16150123	16169519	11.00376938133606	23.412851752093513	13.172959594380162
chr2R	17007674	17015894	10.089318274428487	17.359780393154598	16.521076642335768
chr2R	17216549	17379376	10.10491506546523	11.018038839237308	8.092044998262205
chr2R	17843442	17860582	9.060533166425161	16.099103305181337	24.35738660026359
chr2R	18278198	18357296	9.097465277445863	14.94959551170959	11.281397192578924
chr2R	18554119	18611777	23.750992396547364	22.303036257467276	21.895767248607374
chr2R	19141632	19163705	9.13997771027144	13.395842102978067	14.814474406984935
chr2R	19456170	19485686	12.139176975747501	27.8637799100325	23.9944230699419
chr2R	21129463	21142261	15.121632978969645	19.3798143367879	22.100366023988123
chr2R	21355015	21379464	13.776961612159639	15.63863732340362	13.88001609726158
chr2R	21502097	21517241	11.483181728000089	23.193260167139055	25.267111017043
chr2R	24392129	24402680	13.229104577155352	28.325294397678313	27.240099160394227
chr2R	24537421	24558961	15.782867992688022	24.89456030763428	20.176142818747095
chr3L	129450	145895	9.647335492752418	23.155405904311007	33.111759799434566
chr3L	224106	230964	12.937840241746963	22.664844503611725	55.36711130148083
chr3L	434083	540614	9.403296341021885	9.859952791996882	9.633597679051958
chr3L	543060	581099	9.858068558355734	14.250583475959868	16.932884568174924
chr3L	628435	643900	38.85512116293064	186.29777535424284	152.20917928757137
