3R	3461351	3587054	Parp	125704	-
3R	3623143	3627690	Alg-2	4548	+
3R	3734855	3745306	Tim17b	10452	+
3R	3846729	3868401	CG41099	21673	+
3R	4197206	4204572	beta-Man	7367	+
3R	4211783	4227518	aux	15736	+
3R	4227387	4229238	DhpD	1852	-
3R	4230779	4232342	CG14641	1564	-
3R	4233047	4235041	abs	1995	+
3R	4235217	4241057	Gel	5841	+
3R	4241045	4242717	CG14642	1673	-
3R	4266770	4268316	CG1092	1547	+
3R	4307435	4310947	Vps24	3513	-
3R	4307908	4309835	MP1	1928	+
3R	4327814	4334071	CG9776	6258	-
3R	4334879	4337674	Skp2	2796	-
3R	4337755	4339914	CG1103	2160	+
3R	4378600	4381210	Sfxn1-3	2611	+
3R	4390366	4392111	CG14646	1746	+
3R	4391711	4394259	CG34112	2549	-
3R	4395979	4397875	CG9855	1897	-
3R	4403076	4407182	lost	4107	+
3R	4429798	4433895	eIF3a	4098	-
3R	4433965	4436175	CG1074	2211	+
3R	4465421	4479207	CG31523	13787	-
3R	4485008	4487677	Fip1	2670	+
3R	4638010	4641838	CG9775	3829	-
3R	4641963	4643292	MED31	1330	+
3R	4649176	4654624	Karybeta3	5449	+
3R	4712882	4714182	eIF3f1	1301	-
3R	4733654	4749056	tacc	15403	-
3R	4750035	4777490	atms	27456	+
3R	4786284	4812096	ctrip	25813	-
3R	4811444	4816025	CG1129	4582	+
3R	4817980	4821432	CG14657	3453	-
3R	4906622	4910081	Gnf1	3460	+
3R	4948755	4952682	Ubc6	3928	-
3R	5219657	5221548	CG1116	1892	+
3R	5221632	5223365	Sccpdh1	1734	-
3R	5226158	5227526	Vps37B	1369	+
3R	5232543	5236288	Mms19	3746	+
3R	5237651	5251745	CG12163	14095	-
3R	5255444	5256681	CG12173	1238	-
3R	5257037	5269507	Hph	12471	+
3R	5270116	5350443	mtd	80328	-
3R	5353717	5354747	CG11999	1031	-
3R	5355092	5356748	CG1161	1657	+
3R	5357012	5358364	Prosbeta7	1353	-
3R	5358873	5368306	Cerk	9434	-
3R	5371795	5372397	RpII18	603	+
3R	5458563	5464753	PEK	6191	-
3R	5465630	5467101	RpL35A	1472	-
3R	5467778	5469566	POLDIP2	1789	+
3R	5469463	5470636	mRpL44	1174	-
3R	5470926	5472754	Snr1	1829	+
3R	5485543	5489489	CG31550	3947	+
3R	5552823	5554316	Pcmt	1494	-
3R	5563977	5564815	CG14671	839	-
3R	5567502	5568615	CG2931	1114	-
3R	5579301	5588380	CG2926	9080	-
3R	5589601	5591459	noi	1859	-
3R	5591763	5595356	Vha26	3594	+
3R	5595364	5601136	kra	5773	-
3R	5603236	5606543	asl	3308	-
3R	5607275	5613112	Rga	5838	-
3R	5613280	5616308	asRNA:CR46135	3029	-
3R	5613358	5615939	Atu	2582	+
3R	5622119	5624125	CG2911	2007	-
3R	5624474	5625947	RpL13A	1474	+
3R	5632192	5633321	CG31549	1130	+
3R	5633627	5634640	CG12171	1014	+
3R	5635901	5636852	CG31548	952	-
3R	5637234	5638657	CG12170	1424	+
3R	5638655	5648738	MTA1-like	10084	-
3R	5649065	5652629	Sec23	3565	+
3R	5652640	5654861	elm	2222	-
3R	5656236	5659912	CG2182	3677	-
3R	5665139	5669334	Xe7	4196	-
3R	5669713	5679930	Atg17	10218	+
3R	5736748	5738013	CG1236	1266	+
3R	5738178	5742476	Sym	4299	-
3R	5742510	5747138	Madm	4629	+
3R	5753318	5754774	CG2091	1457	-
3R	5754932	5758997	Sec8	4066	-
3R	5779315	5781308	jagn	1994	+
3R	5787337	5789384	Hat1	2048	-
3R	5789493	5791569	Rpn5	2077	+
3R	5791879	5793383	CG1218	1505	+
3R	5793308	5794317	CG2046	1010	-
3R	5794705	5799994	CG10979	5290	+
3R	5818794	5821440	Hpr1	2647	-
3R	5849697	5856311	disp	6615	-
3R	5858083	5862405	CG2017	4323	-
3R	6000426	6008579	Rm62	8154	-
3R	6345000	6345911	SmD2	912	-
3R	6350896	6361614	Pak	10719	+
3R	6361672	6368288	CG42724	6617	-
3R	6368965	6371115	CG10286	2151	+
3R	6380467	6382604	TfIIFalpha	2138	+
3R	6382914	6388304	gzl	5391	+
3R	6406855	6449274	gpp	42420	+
3R	6457088	6458822	Zif	1735	+
3R	6656030	6657442	CG1307	1413	-
3R	6657882	6659442	twr	1561	+
3R	6658806	6660100	agt	1295	-
3R	6762593	6765261	Ama	2669	+
3R	6822498	6822796	7SLRNA:CR32864	299	+
3R	7071624	7074452	Ufl1	2829	-
3R	7074776	7075487	asRNA:CR45908	712	-
3R	7074859	7077981	CG1943	3123	+
3R	7077904	7080387	Ref1	2484	-
3R	7082182	7083251	Dpck	1070	+
3R	7083225	7086083	Tailor	2859	-
3R	7086599	7088839	alphaTub84B	2241	+
3R	7126271	7128027	CG10068	1757	-
3R	7151367	7154219	Sas-4	2853	+
3R	7184101	7186673	CG10055	2573	-
3R	7224414	7241138	thw	16725	+
3R	7244232	7246969	CG1234	2738	-
3R	7472458	7473781	CG1142	1324	-
3R	7519563	7523753	alpha-Est7	4191	-
3R	7530753	7532732	alphaTub84D	1980	+
