chr3R	5270116	5350443	mtd	80328	-
chr3R	5579301	5588380	CG2926	9080	-
chr3R	6361672	6368288	CG42724	6617	-
chr3R	6406855	6449274	gpp	42420	+
chr3R	8105332	8122294	puc	16963	+
chr3R	8813490	8820682	aqz	7193	-
chr3R	8827068	8931896	pyd	104829	-
chr3R	9066343	9237682	pum	171340	-
chr3R	9367603	9394546	FER	26944	-
chr3R	9874681	9995364	Glut4EF	120684	+
chr3R	10093761	10101356	lncRNA:CR43459	7596	+
chr3R	10388258	10400752	cwo	12495	+
chr3R	11633278	11650706	Csk	17429	-
chr3R	12068375	12090612	ATP8B	22238	-
chr3R	14234984	14244677	CG43291	9694	-
chr3R	14263358	14286903	trx	23546	-
chr3R	14391683	14481713	cv-c	90031	-
chr3R	14664907	14697292	Meltrin	32386	-
chr3R	14697689	14724261	kibra	26573	-
chr3R	15973298	15983451	Hel89B	10154	+
chr3R	16026079	16041796	pnr	15718	+
chr3R	16272452	16304768	gish	32317	+
chr3R	16445007	16453821	Pak3	8815	-
chr3R	16458280	16469663	CG42232	11384	-
chr3R	17687818	17718350	osa	30533	-
chr3R	18192494	18199595	Ssdp	7102	-
chr3R	18414273	18545586	fru	131314	-
chr3R	18914968	18926989	Xrp1	12022	+
chr3R	19044882	19094270	cdi	49389	-
chr3R	19230764	19246130	unc79	15367	-
chr3R	19794073	19836817	bnl	42745	-
chr3R	20252770	20303942	cic	51173	+
chr3R	20309344	20324196	CG42668	14853	+
chr3R	20756729	20810726	Syp	53998	+
chr3R	21140739	21214269	SNF4Agamma	73531	+
chr3R	21296127	21317836	lncRNA:Hsromega	21710	+
chr3R	21350846	21377401	mod(mdg4)	26556	-
chr3R	21520928	21528598	CG7956	7671	+
chr3R	21570248	21619321	InR	49074	-
chr3R	22587755	22608842	Efa6	21088	+
chr3R	22710883	22721150	wge	10268	-
chr3R	23118400	23124217	CenB1A	5818	+
chr3R	23290231	23346167	pnt	55937	-
chr3R	23997538	24031827	KrT95D	34290	-
chr3R	24063077	24108960	eIF4EHP	45884	-
chr3R	24101600	24105763	Syx1A	4164	-
chr3R	24557368	24582864	REPTOR	25497	-
chr3R	25347431	25473058	Fur1	125628	-
chr3R	25516118	25608423	msi	92306	+
chr3R	26106868	26130674	CG31324	23807	+
chr3R	26470078	26535217	plum	65140	-
chr3R	29039156	29049148	Pkc98E	9993	+
chr3R	29063040	29108948	CG11873	45909	+
chr3R	29214562	29219667	lncRNA:CR31044	5106	+
chr3R	29251826	29255800	stg	3975	-
chr3R	29499025	29503797	Trc8	4773	-
chr3R	29765995	29794113	kay	28119	+
chr3R	30058311	30121798	sima	63488	+
chr3R	30277932	30372382	hdc	94451	+
chr3R	30765926	30789202	zfh1	23277	+
chr3R	30789625	30806619	wts	16995	-
chr3R	31405245	31457873	Gprk2	52629	+
chr3R	31846987	32015520	heph	168534	-
chr3L	129450	145895	Pdk1	16446	+
chr3L	224106	230964	lncRNA:CR42862	6859	+
chr3L	434083	540614	klar	106532	-
chr3L	543060	581099	Hipk	38040	+
chr3L	628435	643900	lncRNA:CR43334	15466	+
chr3L	637486	638568	lncRNA:CR43423	1083	-
chr3L	2377655	2499226	Svil	121572	+
chr3L	2488804	2492613	CG1146	3810	+
chr3L	2505245	2554292	Spn	49048	-
chr3L	2554847	2586540	msn	31694	-
chr3L	2786207	2879158	Tet	92952	-
chr3L	3071133	3090406	CG11486	19274	+
chr3L	3224838	3236604	Larp4B	11767	+
chr3L	3336860	3368133	kst	31274	+
chr3L	3401153	3424935	sty	23783	-
chr3L	3515751	3610521	Eip63E	94771	+
chr3L	5155821	5277944	shep	122124	-
chr3L	5343619	5355923	lama	12305	-
chr3L	5797549	5810931	S6k	13383	-
chr3L	6495680	6550104	sfl	54425	+
chr3L	6949491	6955904	CG10077	6414	-
chr3L	7432762	7435190	Rac2	2429	-
chr3L	7777105	7809825	CG32369	32721	-
chr3L	7811458	7867369	Pdp1	55912	-
chr3L	7979046	8054147	nmo	75102	+
chr3L	8063874	8108897	Ect4	45024	+
chr3L	8432322	8442381	Unr	10060	-
chr3L	8449922	8472669	Gug	22748	+
chr3L	8675759	8679253	h	3495	+
chr3L	8827505	8891192	dally	63688	+
chr3L	9386827	9399227	CG4080	12401	-
chr3L	9763544	9786466	CG8177	22923	+
chr3L	9839093	9855285	RasGAP1	16193	-
chr3L	10481412	10594012	Rbfox1	112601	+
chr3L	10835528	10876496	tna	40969	+
chr3L	11078752	11093193	JIL-1	14442	-
chr3L	11214505	11230745	CG42671	16241	+
chr3L	11252307	11256172	scyl	3866	+
chr3L	11522757	11562233	Mob2	39477	-
chr3L	12515059	12520954	tral	5896	+
chr3L	14002127	14020148	upSET	18022	+
chr3L	14053100	14054304	asRNA:CR46067	1205	-
chr3L	14053215	14071583	Frl	18369	+
chr3L	14985100	14991667	mnd	6568	+
chr3L	15535395	15553214	CrebA	17820	+
chr3L	15588860	15609125	RhoGAP71E	20266	+
chr3L	15818734	15826423	DCP2	7690	-
chr3L	16137802	16164701	CG5151	26900	-
chr3L	16615866	16647882	Abl	32017	-
chr3L	17487118	17511693	Oatp74D	24576	+
chr3L	17551004	17557788	CycT	6785	-
chr3L	17659818	17669234	Crtc	9417	-
chr3L	17950953	18064696	Eip75B	113744	-
chr3L	18750607	18801309	ftz-f1	50703	-
chr3L	18802265	18820675	CG14073	18411	-
chr3L	19066155	19086426	Mkp3	20272	-
chr3L	19889120	19909410	Su(Tpl)	20291	-
chr3L	20149614	20198317	CG42674	48704	-
chr3L	20992814	21027434	skd	34621	-
chr3L	22293044	22407863	Ten-m	114820	-
chr3L	22348168	22407547	lncRNA:CR45962	59380	-
chr3L	22789233	22835194	jim	45962	-
chr2R	4691672	4729017	Nipped-B	37346	-
chr2R	6087873	6169087	EcR	81215	-
chr2R	6214568	6240602	bin3	26035	+
chr2R	7317924	7381899	Dscam1	63976	-
chr2R	7676540	7698902	LRR	22363	-
chr2R	7737019	7782637	CG46385	45619	-
chr2R	9123304	9132030	CG18659	8727	-
chr2R	9503765	9541565	brp	37801	+
chr2R	10269016	10307024	CAP	38009	+
chr2R	10481894	10543291	lola	61398	-
chr2R	10557888	10617280	psq	59393	+
chr2R	10977956	11116378	luna	138423	-
chr2R	11452043	11465270	E(Pc)	13228	+
chr2R	11577485	11616045	tou	38561	-
chr2R	11712263	11726345	pyr	14083	+
chr2R	12705172	12751545	CG42663	46374	+
chr2R	12965997	12980994	Psc	14998	-
chr2R	13819624	13824553	fl(2)d	4930	-
chr2R	13864237	13942110	shot	77874	-
chr2R	13943387	13958089	AGO1	14703	-
chr2R	13972984	13980165	CG6701	7182	-
chr2R	13991203	14060356	mam	69154	+
chr2R	14060456	14140902	Prosap	80447	-
chr2R	14526267	14587917	ttv	61651	+
chr2R	14671396	14713622	mspo	42227	-
chr2R	14860936	14871071	Pcf11	10136	-
chr2R	15762565	15817004	Zasp52	54440	-
chr2R	16150123	16169519	lbk	19397	+
chr2R	17007674	17015894	Ehbp1	8221	-
chr2R	17216549	17379376	mbl	162828	+
chr2R	17843442	17860582	olf186-F	17141	+
chr2R	18278198	18357296	sbb	79099	-
chr2R	18554119	18611777	GEFmeso	57659	-
chr2R	19141632	19163705	ena	22074	+
chr2R	19456170	19485686	par-1	29517	+
chr2R	21129463	21142261	Magi	12799	-
chr2R	21355015	21379464	cv-2	24450	-
chr2R	21502097	21517241	MESK2	15145	+
chr2R	24392129	24402680	Slik	10552	-
chr2R	24537421	24558961	ITP	21541	+
chrX	1242740	1275284	Atf3	32545	-
chrX	1575132	1664869	br	89738	+
chrX	1773719	1853667	prage	79949	+
chrX	2278031	2293411	CG2865	15381	-
chrX	2588503	2599111	egh	10609	+
chrX	2633952	2679553	sgg	45602	+
chrX	3134870	3172221	N	37352	+
chrX	3176440	3343767	dnc	167328	+
chrX	3485650	3490915	CG10803	5266	+
chrX	3671801	3701672	Mnt	29872	+
chrX	3720007	3789770	Tlk	69764	+
chrX	4117020	4130016	tyf	12997	+
chrX	4322626	4365408	norpA	42783	+
chrX	5071027	5084768	CG32767	13742	-
chrX	5719374	5738031	Snx27	18658	-
chrX	6540771	6589173	CG34417	48403	+
chrX	6863888	6881580	CG43736	17693	+
chrX	7608428	7678859	ct	70432	+
chrX	7884660	7886976	Ir7g	2317	+
chrX	8037808	8061436	fs(1)h	23629	-
chrX	8560322	8570159	Trf4-1	9838	+
chrX	8907068	9029476	rdgA	122409	+
chrX	9093612	9103739	CG7766	10128	-
chrX	9163255	9189309	mei-P26	26055	+
chrX	9324508	9356227	Zdhhc8	31720	-
chrX	9358496	9500129	mgl	141634	-
chrX	9665442	9687066	nej	21625	-
chrX	10071858	10082492	ZAP3	10635	-
chrX	10233347	10263485	Hk	30139	-
chrX	10711163	10744943	stx	33781	-
chrX	10787869	10824277	Imp	36409	-
chrX	11112395	11124726	CG11122	12332	-
chrX	11369665	11409776	dlg1	40112	+
chrX	11430523	11454386	Evi5	23864	-
chrX	11816898	11837460	rudhira	20563	+
chrX	11931280	11985087	cac	53808	-
chrX	12569169	12583193	Pits	14025	-
chrX	12596047	12609910	Sec16	13864	+
chrX	12684203	12742618	Smr	58416	-
chrX	12785563	12897327	Pde9	111765	-
chrX	13079205	13090434	hep	11230	-
chrX	13262687	13285632	HDAC4	22946	-
chrX	13380166	13384877	Rbp1-like	4712	-
chrX	13624745	13664568	NFAT	39824	+
chrX	13783714	13811493	inaE	27780	+
chrX	13812971	13822307	Clic	9337	-
chrX	13846116	13990527	mamo	144412	-
chrX	15297766	15319074	gce	21309	+
chrX	15804370	15827682	sd	23313	+
chrX	16333612	16340624	Dsp1	7013	+
chrX	16599241	16610459	Nup153	11219	+
chrX	16624012	16637414	Rok	13403	-
chrX	16901767	16912724	lncRNA:CR44754	10958	-
chrX	16913180	16938209	CG4928	25030	+
chrX	16943290	16956234	RhoGAP15B	12945	+
chrX	17160006	17200728	baz	40723	+
chrX	17862697	17887222	mnb	24526	-
chrX	18863950	18884075	CG34401	20126	+
chrX	19281232	19298162	CG8034	16931	-
chrX	19830215	19852059	pico	21845	-
chrX	19886108	19890060	amn	3953	-
