#'chr'	'start'	'end'	'PolII'
chr2L	158782	159281	236.26452905811624
chr2L	2178505	2179004	95.93186372745491
chr2L	3902611	3903110	2.8858921161825726
chr2L	5100627	5101126	3.590717299578059
chr2L	8825395	8825894	175.7695390781563
chr2L	11809189	11809688	64.45090180360721
chr2L	12546362	12546861	111.10821643286573
chr2L	13549889	13550388	220.7935871743487
chr2R	7782388	7782887	252.18637274549098
chr2R	10543042	10543541	102.04609218436873
chr2R	10557638	10558137	45.210420841683366
chr2R	11712013	11712512	43.73947895791583
chr2R	13957840	13958339	144.84569138276552
chr2R	14140653	14141152	98.8997995991984
chr2R	14713373	14713872	54.8376753507014
chr2R	19455920	19456419	170.0240480961924
chr2R	21501847	21502346	45.65130260521042
chr3L	223856	224355	278.39278557114227
chr3L	542810	543309	466.0741482965932
chr3L	628185	628684	1350.2685370741483
chr3L	2878909	2879408	8.32865731462926
chr3L	3424686	3425185	10.452905811623246
chr3L	5277695	5278194	32.21643286573146
chr3L	5810682	5811181	58.99799599198397
chr3L	7434941	7435440	144.72144288577155
chr3L	7867120	7867619	82.20240480961924
chr3L	8063624	8064123	220.36472945891782
chr3L	8442132	8442631	49.95991983967936
chr3L	8675509	8676008	237.24849699398797
chr3L	9763294	9763793	96.59318637274549
chr3L	10835278	10835777	11.585170340681362
chr3L	11252057	11252556	45.53707414829659
chr3L	11561984	11562483	30.18637274549098
chr3L	14052965	14053464	89.60120240480961
chr3L	14054055	14054554	13.755511022044088
chr3L	14984850	14985349	11.779559118236472
chr3L	15535145	15535644	114.12224448897796
chr3L	15588610	15589109	111.77955911823648
chr3L	16647633	16648132	78.62124248496994
chr3L	19909161	19909660	112.92985971943888
chr3L	20198068	20198567	65.9498997995992
chr3L	22407614	22408113	95.64729458917836
chr3R	5588131	5588630	36.53707414829659
chr3R	6406605	6407104	124.80360721442885
chr3R	8105082	8105581	105.24649298597194
chr3R	8820433	8820932	104.27254509018036
chr3R	9237433	9237932	92.40480961923848
chr3R	16272202	16272701	60.12625250501002
chr3R	18914718	18915217	86.32264529058116
chr3R	20309094	20309593	80.17635270541082
chr3R	23345918	23346417	78.89779559118236
chr3R	24031578	24032077	293.82765531062125
chr3R	24105514	24106013	235.85771543086173
chr3R	29255551	29256050	397.40280561122245
chr3R	29765745	29766244	222.9579158316633
chr3R	30765676	30766175	779.3527054108216
chrX	2588253	2588752	87.87174348697395
chrX	6863638	6864137	18.43687374749499
chrX	7608178	7608677	110.69338677354709
chrX	8061187	8061686	255.5430861723447
chrX	9499880	9500379	63.92785571142284
chrX	10082243	10082742	19.228456913827657
chrX	10824028	10824527	3.9458917835671343
chrX	11816648	11817147	88.32865731462925
chrX	12742369	12742868	69.48897795591182
chrX	13384628	13385127	81.90180360721443
chrX	15804120	15804619	nan
chrX	16333362	16333861	301.3346693386774
chrX	16912475	16912974	1.3887775551102204
chrX	16912930	16913429	18.517034068136272
chrX	19851810	19852309	145.12224448897797
