chrX	14000210	14000889	Ste12DOR	680	+
chr3R	7000492	7001423	lncRNA:CR45899	932	+
chr2R	9979319	9980795	eve	1477	+
chr3R	4876005	4878533	laf	2529	-
chr2R	12904545	12906237	lncRNA:CR46337	1693	-
chr2R	12903794	12906236	lncRNA:CR46336	2443	+
chr2L	25402	65404	Cda5	40003	-
chr3L	609179	609620	lncRNA:CR44513	442	-
chr3R	6684445	6685157	Edg84A	713	+
chr3R	31689128	31689878	lncRNA:CR45565	751	-
chr3R	25082684	25084878	fd96Ca	2195	+
chrX	12490291	12492982	Lsp1alpha	2692	+
chr3L	21474133	21476479	croc	2347	-
chr2L	14490859	14494019	noc	3161	+
chr3R	21378977	21381970	tin	2994	+
chr2L	20770731	20783135	cad	12405	+
chr3R	16214278	16214957	lncRNA:CR45641	680	+
chr3L	620695	622316	CG43337	1622	-
chr3R	25999851	26000761	E(spl)mgamma-HLH	911	+
chr2R	9976996	9979584	asRNA:CR43948	2589	-
chr3L	9005196	9007249	Doc3	2054	+
chr2R	20909704	20910801	CAH15	1098	+
chr3L	14175610	14178620	D	3011	-
chr3L	6790158	6794941	vvl	4784	+
chr3L	4482809	4484370	CG11350	1562	+
chr3L	6990622	6994447	bin	3826	+
chr2L	18795824	18796180	lncRNA:CR44904	357	-
chrX	18292380	18293059	lncRNA:CR15061	680	+
chr3L	5595542	5597422	Alp9	1881	+
chr2R	11524006	11528210	en	4205	-
chr2R	8455909	8457892	Mal-A3	1984	-
chr2L	15423297	15425580	wor	2284	-
chr3R	13901853	13904620	ems	2768	+
chr3L	21594597	21595460	lncRNA:CR43940	864	+
chr2L	13708215	13710583	Gpo3	2369	+
chr2R	20111511	20116932	18w	5422	+
chr2R	22221180	22223499	Oatp58Db	2320	-
chrX	4617564	4627206	peb	9643	+
chr3R	21388880	21390449	bap	1570	+
chr3R	30852315	30854400	tll	2086	+
chrX	18305354	18309291	upd1	3938	-
chr2R	8031283	8042529	Optix	11247	+
chrX	10623725	10627112	CG9806	3388	-
chr3R	4345015	4346646	hkb	1632	-
chrX	14193214	14199958	yl	6745	+
chr2R	22218456	22220905	Oatp58Da	2450	-
chr3R	21441577	21446537	lbe	4961	-
chr2L	12008153	12009832	Rh5	1680	+
chr2L	14027001	14029368	hll	2368	+
chrX	16210598	16216750	disco	6153	-
chr2L	8494893	8496307	Bace	1415	-
chr2L	13968280	13969976	NimB4	1697	-
chr2R	22293400	22296955	CG5819	3556	+
chrX	9694186	9697558	btd	3373	+
chr3L	20692330	20695378	kni	3049	-
chr3L	9041375	9045042	Doc1	3668	+
chrX	10657680	10660671	CG2111	2992	+
chr3R	12254187	12256592	CG3942	2406	+
chr3R	31709275	31709788	lncRNA:CR34046	514	+
chr2L	12448484	12452047	Oatp33Eb	3564	+
chr2R	21820662	21831409	CG13492	10748	-
chr3L	12462537	12468021	eyg	5485	-
chr3L	8647261	8648936	Arr2	1676	-
chr2L	3825675	3827099	slp1	1425	+
chr3L	1189588	1190472	CG13912	885	+
chrX	19583617	19587057	CG14204	3441	+
chr2R	8019176	8026595	lncRNA:CR45267	7420	+
chr2R	24378630	24390294	mAChR-A	11665	-
chrX	18277233	18284596	upd3	7364	+
chr2L	18735748	18736130	lncRNA:CR44769	383	+
chr2L	784336	788776	CG3544	4441	+
chr3R	19931799	19935120	mira	3322	-
chr3R	4480812	4484215	CG14651	3404	+
chr2L	987807	991300	lncRNA:CR44801	3494	-
chr2L	8777661	8781252	LManVI	3592	-
chrX	18314124	18321193	CG6023	7070	-
chrX	5792140	5794543	CG12239	2404	+
chr3R	28580976	28585264	fkh	4289	-
chr2L	13447538	13449497	Hsp60D	1960	-
chr3R	4292274	4294840	Nepl11	2567	-
chr3R	5077779	5087072	corto	9294	-
chr2L	6395853	6397249	CG42369	1397	-
chr2L	11434311	11445614	salm	11304	-
chr2L	8862610	8867511	asRNA:CR45260	4902	-
chr2R	14435899	14465881	Oaz	29983	+
chr2R	8453627	8455782	Mal-A2	2156	+
chr3L	12129103	12131488	asRNA:CR11538	2386	-
chr3R	6330248	6331809	Osi18	1562	+
chr3L	1670407	1672727	CG13930	2321	-
chr3R	25344761	25346921	tobi	2161	-
