#'chr'	'start'	'end'	'IgG'	'METTL3'	'PolII'
chr2L	419951	419952	29.0	24.0	97.0
chr2L	2856069	2856070	3.0	15.0	37.0
chr2L	4227698	4227699	4.0	10.0	21.0
chr2L	4458364	4458365	11.0	18.0	67.0
chr2L	5070956	5070957	1.0	10.0	2.0
chr2L	6489089	6489090	6.0	19.0	47.0
chr2L	6557799	6557800	20.0	54.0	88.0
chr2L	8162452	8162453	17.0	56.0	167.0
chr2L	8211346	8211347	6.0	33.0	36.0
chr2L	8364662	8364663	10.0	78.0	272.0
chr2L	9699790	9699791	10.0	35.0	150.0
chr2L	9897552	9897553	9.0	24.0	107.0
chr2L	10408351	10408352	9.0	20.0	18.0
chr2L	11004189	11004190	8.0	14.0	24.0
chr2L	16719931	16719932	14.0	23.0	102.0
chr2L	16732133	16732134	7.0	24.0	56.0
chr2L	18443277	18443278	8.0	20.0	45.0
chr2L	18951837	18951838	8.0	17.0	70.0
chr2L	19009306	19009307	15.0	45.0	72.0
chr2L	20463444	20463445	14.0	47.0	39.0
chr2L	20926147	20926148	17.0	27.0	17.0
chr2L	22247875	22247876	24.0	52.0	54.0
chr2R	4188127	4188128	7.0	14.0	14.0
chr2R	4516458	4516459	8.0	14.0	18.0
chr2R	8900240	8900241	54.0	80.0	106.0
chr2R	9587192	9587193	14.0	25.0	48.0
chr2R	10810936	10810937	13.0	43.0	52.0
chr2R	10821675	10821676	15.0	20.0	22.0
chr2R	12200815	12200816	10.0	60.0	116.0
chr2R	13572759	13572760	3.0	7.0	10.0
chr2R	14216627	14216628	nan	13.0	28.0
chr2R	14749222	14749223	8.0	30.0	79.0
chr2R	16571230	16571231	1.0	11.0	28.0
chr2R	16773915	16773916	10.0	8.0	10.0
chr2R	16868221	16868222	7.0	22.0	63.0
chr2R	17634167	17634168	7.0	20.0	30.0
chr2R	18834775	18834776	22.0	32.0	77.0
chr2R	19442341	19442342	4.0	23.0	83.0
chr2R	20263978	20263979	5.0	14.0	39.0
chr2R	21293767	21293768	8.0	17.0	56.0
chr2R	21685282	21685283	6.0	29.0	40.0
chr2R	22605744	22605745	6.0	17.0	53.0
chr2R	22641419	22641420	3.0	17.0	20.0
chr2R	23548238	23548239	19.0	26.0	59.0
chr2R	24057797	24057798	15.0	68.0	110.0
chr2R	24060377	24060378	4.0	10.0	48.0
chr2R	24062431	24062432	1.0	16.0	52.0
chr2R	24903935	24903936	12.0	40.0	98.0
chr2R	24969547	24969548	9.0	25.0	42.0
chr3L	1331743	1331744	5.0	19.0	26.0
chr3L	1668654	1668655	7.0	15.0	34.0
chr3L	3222960	3222961	6.0	30.0	89.0
chr3L	3223340	3223341	23.0	106.0	213.0
chr3L	7241351	7241352	19.0	7.0	36.0
chr3L	8601005	8601006	20.0	30.0	79.0
chr3L	9510016	9510017	4.0	34.0	69.0
chr3L	9511531	9511532	13.0	61.0	221.0
chr3L	11822850	11822851	3.0	11.0	21.0
chr3L	13023351	13023352	4.0	15.0	47.0
chr3L	16804993	16804994	16.0	23.0	11.0
chr3L	17425476	17425477	12.0	37.0	92.0
chr3L	17654616	17654617	16.0	21.0	47.0
chr3L	20000643	20000644	6.0	nan	5.0
chr3L	21539447	21539448	5.0	15.0	48.0
chr3L	23339325	23339326	13.0	20.0	17.0
chr3R	5467101	5467102	6.0	10.0	22.0
chr3R	9401226	9401227	19.0	62.0	93.0
chr3R	9778041	9778042	29.0	34.0	41.0
chr3R	11210246	11210247	15.0	23.0	95.0
chr3R	14326946	14326947	8.0	14.0	21.0
chr3R	16349403	16349404	17.0	46.0	85.0
chr3R	17630716	17630717	3.0	15.0	2.0
chr3R	20059750	20059751	2.0	7.0	5.0
chr3R	20822180	20822181	21.0	74.0	236.0
chr3R	20850515	20850516	8.0	17.0	28.0
chr3R	23358811	23358812	3.0	26.0	49.0
chr3R	25247514	25247515	9.0	32.0	58.0
chr3R	25685051	25685052	3.0	18.0	19.0
chr3R	26059267	26059268	24.0	18.0	53.0
chr3R	27922820	27922821	13.0	22.0	39.0
chr3R	29861581	29861582	8.0	52.0	175.0
chr3R	30004784	30004785	22.0	34.0	86.0
chr3R	30046161	30046162	5.0	18.0	50.0
chr3R	30209020	30209021	7.0	42.0	115.0
chr3R	30210873	30210874	18.0	50.0	140.0
chr3R	31746077	31746078	7.0	25.0	54.0
chr4	67207	67208	7.0	38.0	63.0
chrX	629483	629484	6.0	23.0	66.0
chrX	5672400	5672401	4.0	6.0	13.0
chrX	6744238	6744239	2.0	17.0	40.0
chrX	7933741	7933742	4.0	11.0	29.0
chrX	7934897	7934898	1.0	24.0	43.0
chrX	9078499	9078500	10.0	22.0	60.0
chrX	9160052	9160053	2.0	15.0	18.0
chrX	9554622	9554623	3.0	21.0	76.0
chrX	10786958	10786959	nan	10.0	26.0
chrX	13337705	13337706	17.0	21.0	44.0
chrX	15139367	15139368	8.0	11.0	46.0
chrX	15849258	15849259	6.0	22.0	22.0
chrX	15986808	15986809	8.0	20.0	25.0
chrX	16286287	16286288	5.0	11.0	49.0
chrX	16297718	16297719	1.0	19.0	23.0
chrX	16320370	16320371	21.0	41.0	134.0
chrX	16637893	16637894	7.0	18.0	74.0
chrX	19598030	19598031	9.0	25.0	58.0
chrX	23211191	23211192	130.0	299.0	119.0
