#'chr'	'start'	'end'	'PolII'
chr2L	159032	203397	17.039476805488917
chr2L	2156484	2178754	31.63890800793918
chr2L	3872646	3902860	8.049289243122871
chr2L	5100877	5207002	13.422030309087976
chr2L	8825645	8829670	22.536532306763284
chr2L	11794327	11809438	36.56169950357756
chr2L	12455540	12546611	11.014160906247161
chr2L	13550139	13639411	11.014366513626221
chr2R	7737019	7782637	16.44960285294094
chr2R	10481894	10543291	20.8341874127693
chr2R	10557888	10617280	23.972663983672668
chr2R	11712263	11726345	9.50908211456429
chr2R	13943387	13958089	24.952073279211568
chr2R	14060456	14140902	5.7927576192064985
chr2R	14671396	14713622	5.542644425475052
chr2R	19456170	19485686	23.9944230699419
chr2R	21502097	21517241	25.267111017043
chr3L	224106	230964	55.36711130148083
chr3L	543060	581099	16.932884568174924
chr3L	628435	643900	152.20917928757137
chr3L	2786207	2879158	11.75837637682109
chr3L	3401153	3424935	29.192814888582188
chr3L	5155821	5277944	7.465303575699213
chr3L	5797549	5810931	17.338893917088065
chr3L	7432762	7435190	84.11318328985904
chr3L	7811458	7867369	14.102266824713679
chr3L	8063874	8108897	25.66470471987658
chr3L	8432322	8442381	9.918719815005296
chr3L	8675759	8679253	48.53697136559499
chr3L	9763544	9786466	9.427737493352726
chr3L	10835528	10876496	17.1531139951029
chr3L	11252307	11256172	18.80586410942444
chr3L	11522757	11562233	17.634792923913963
chr3L	14053100	14054304	51.77491117571059
chr3L	14053215	14071583	22.993687841892527
chr3L	14985100	14991667	29.96939169368535
chr3L	15535395	15553214	21.63767776330525
chr3L	15588860	15609125	13.340774109370287
chr3L	16615866	16647882	15.46389591359792
chr3L	19889120	19909410	25.199931955887994
chr3L	20149614	20198317	9.055705546238329
chr3L	22293044	22407863	11.0769874635974
chr3R	5579301	5588380	10.344824876152861
chr3R	6406855	6449274	13.596862845807834
chr3R	8105332	8122294	28.998645486356757
chr3R	8813490	8820682	27.523062855333087
chr3R	9066343	9237682	8.696711979882197
chr3R	16272452	16304768	20.883442031514104
chr3R	18914968	18926989	53.99674982842526
chr3R	20309344	20324196	19.280909403801292
chr3R	23290231	23346167	16.763456115033165
chr3R	23997538	24031827	22.676291269429505
chr3R	24101600	24105763	41.7456217721595
chr3R	29251826	29255800	73.32954263476486
chr3R	29765995	29794113	107.69968000677699
chr3R	30765926	30789202	69.3216833177676
chrX	2588503	2599111	22.265597920811132
chrX	6863888	6881580	32.04584784603854
chrX	7608428	7678859	15.24230024880368
chrX	8037808	8061436	27.999262455111843
chrX	9358496	9500129	5.099734586638644
chrX	10071858	10082492	5.735042109429622
chrX	10787869	10824277	13.052886915348695
chrX	11816898	11837460	13.798193704777916
chrX	12684203	12742618	14.66063526680461
chrX	13380166	13384877	15.182953738628802
chrX	15804370	15827682	19.047682672496105
chrX	16333612	16340624	26.546444124894414
chrX	16901767	16912724	6.414959403349995
chrX	16913180	16938209	4.237566652993489
chrX	19830215	19852059	19.579147914121247
