#'chr'	'start'	'end'	'PolII'
chr2L	210735	250823	19.034037772255797
chr2L	1380086	1420453	10.324396504512412
chr2L	1651258	1704682	21.23394749483858
chr2L	1884622	1944289	7.72069390272095
chr2L	12817000	12822787	23.834315562243074
chr2L	16263556	16287730	31.49153014130252
chr2L	16508078	16532877	31.455073297620544
chr2L	16545016	16663218	9.022390269488183
chr2L	17436830	17450364	21.973008620785905
chr2L	18617256	18661776	12.535673501717351
chr2L	20734609	20750941	21.40866950053628
chr2L	21221312	21232059	14.594260801463975
chr2R	6214568	6240602	33.18016995618778
chr2R	12965997	12980994	17.056675720545787
chr2R	13972984	13980165	22.4872291754006
chr2R	17216549	17379376	8.092044998262205
chr2R	18278198	18357296	11.281397192578924
chr2R	19141632	19163705	14.814474406984935
chr3L	2505245	2554292	9.599690430753034
chr3L	2554847	2586540	13.81055309320225
chr3L	3224838	3236604	45.32986985363901
chr3L	8449922	8472669	11.140402434924185
chr3L	9386827	9399227	21.948682997324433
chr3L	11214505	11230745	11.319186677590677
chr3L	12515059	12520954	22.029895568278203
chr3L	14002127	14020148	32.359076568270666
chr3L	15818734	15826423	15.50133239638448
chr3L	16137802	16164701	18.852984333565697
chr3L	17551004	17557788	12.598318113545456
chr3L	18802265	18820675	16.242276872412962
chr3L	19066155	19086426	30.281862627974352
chr3L	20992814	21027434	34.85967511499156
chr3L	22348168	22407547	11.696125412727403
chr3R	9874681	9995364	8.11882509082987
chr3R	10388258	10400752	24.743580315173094
chr3R	14263358	14286903	13.939397894473235
chr3R	14664907	14697292	11.334734963888023
chr3R	14697689	14724261	20.611417231564083
chr3R	15973298	15983451	34.31562296516081
chr3R	18192494	18199595	28.667529710212957
chr3R	19230764	19246130	10.108764620726143
chr3R	20252770	20303942	16.44273815384116
chr3R	20756729	20810726	14.113863571363677
chr3R	21140739	21214269	21.842629007826744
chr3R	21296127	21317836	27.50061665629705
chr3R	21570248	21619321	16.955800658224362
chr3R	22710883	22721150	15.066587401872717
chr3R	29039156	29049148	14.712571376559653
chr3R	29499025	29503797	17.9502717503554
chr3R	30277932	30372382	9.566130797049436
chr3R	31405245	31457873	12.054121980225037
chrX	3176440	3343767	4.811396470835843
chrX	3720007	3789770	24.84128712200932
chrX	4117020	4130016	8.144485501978231
chrX	4322626	4365408	5.475850381766615
chrX	5071027	5084768	9.88119459984773
chrX	9163255	9189309	7.909497823878304
chrX	9324508	9356227	7.005630719060991
chrX	9665442	9687066	13.711243920075907
chrX	11369665	11409776	8.51565874391297
chrX	12569169	12583193	20.228312260134935
chrX	12785563	12897327	4.420333661441987
chrX	13262687	13285632	9.976395386371385
chrX	13624745	13664568	15.659810327726918
chrX	13812971	13822307	22.13906039933633
chrX	13846116	13990527	6.448694248541562
chrX	16624012	16637414	10.17771175654026
chrX	19281232	19298162	9.640913627293056
chrX	20469955	20510694	6.020310288611778
chrX	21319791	21324009	17.42986901375059
