#'chr'	'start'	'end'	'IgG'	'METTL3'	'PolII'
chr2L	7528	7529	3.0	13.0	6.0
chr2L	21376	21377	7.0	23.0	55.0
chr2L	21951	21952	17.0	14.0	14.0
chr2L	54816	54817	18.0	18.0	8.0
chr2L	65404	65405	13.0	13.0	6.0
chr2L	66481	66482	13.0	49.0	25.0
chr2L	71756	71757	4.0	18.0	11.0
chr2L	73836	73837	33.0	122.0	97.0
chr2L	76347	76348	7.0	4.0	6.0
chr2L	87387	87388	22.0	21.0	19.0
chr2L	94738	94739	15.0	20.0	22.0
chr2L	102379	102380	6.0	23.0	12.0
chr2L	106732	106733	23.0	37.0	33.0
chr2L	106902	106903	3.0	11.0	17.0
chr2L	114725	114726	14.0	32.0	41.0
chr2L	116488	116489	11.0	13.0	9.0
chr2L	121754	121755	4.0	27.0	39.0
chr2L	122836	122837	4.0	10.0	12.0
chr2L	130791	130792	4.0	8.0	12.0
chr2L	132076	132077	6.0	54.0	124.0
chr2L	143091	143092	19.0	27.0	30.0
chr2L	143322	143323	32.0	45.0	24.0
chr2L	153300	153301	28.0	16.0	23.0
chr2L	155305	155306	12.0	35.0	32.0
chr2L	156028	156029	3.0	14.0	27.0
chr2L	158664	158665	8.0	32.0	80.0
chr2L	203778	203779	9.0	14.0	25.0
chr2L	207178	207179	38.0	15.0	17.0
chr2L	219650	219651	6.0	6.0	9.0
chr2L	223518	223519	17.0	23.0	20.0
chr2L	228036	228037	16.0	16.0	8.0
chr2L	232486	232487	3.0	7.0	15.0
chr2L	248908	248909	4.0	41.0	35.0
chr2L	252373	252374	6.0	6.0	27.0
chr2L	267505	267506	10.0	8.0	12.0
chr2L	269087	269088	13.0	14.0	11.0
chr2L	271744	271745	19.0	27.0	20.0
chr2L	273715	273716	26.0	11.0	37.0
chr2L	273835	273836	11.0	35.0	35.0
chr2L	277581	277582	8.0	13.0	34.0
chr2L	278234	278235	38.0	23.0	31.0
chr2L	283269	283270	11.0	33.0	39.0
chr2L	283806	283807	9.0	9.0	13.0
chr2L	289144	289145	14.0	7.0	3.0
chr2L	291795	291796	10.0	10.0	24.0
chr2L	292418	292419	32.0	32.0	50.0
chr2L	294681	294682	2.0	7.0	26.0
chr2L	295121	295122	12.0	12.0	60.0
chr2L	297879	297880	26.0	173.0	278.0
chr2L	305934	305935	13.0	44.0	67.0
chr2L	322100	322101	15.0	17.0	5.0
chr2L	329761	329762	20.0	7.0	5.0
chr2L	332335	332336	12.0	11.0	6.0
chr2L	355662	355663	nan	2.0	2.0
chr2L	357328	357329	13.0	13.0	8.0
chr2L	357874	357875	12.0	34.0	28.0
chr2L	378111	378112	19.0	20.0	11.0
chr2L	402198	402199	4.0	5.0	6.0
chr2L	404284	404285	5.0	31.0	13.0
chr2L	414777	414778	16.0	112.0	178.0
chr2L	415066	415067	20.0	66.0	106.0
chr2L	419652	419653	14.0	37.0	100.0
chr2L	421450	421451	35.0	48.0	91.0
chr2L	421770	421771	2.0	16.0	7.0
chr2L	422872	422873	13.0	19.0	27.0
chr2L	439538	439539	6.0	6.0	4.0
chr2L	453024	453025	36.0	105.0	96.0
chr2L	453107	453108	38.0	65.0	65.0
chr2L	455530	455531	13.0	16.0	17.0
chr2L	473012	473013	11.0	22.0	39.0
chr2L	476219	476220	2.0	17.0	13.0
chr2L	490834	490835	23.0	41.0	221.0
chr2L	502236	502237	22.0	35.0	24.0
chr2L	542580	542581	9.0	34.0	67.0
chr2L	544653	544654	17.0	62.0	195.0
chr2L	545128	545129	19.0	75.0	205.0
chr2L	552923	552924	22.0	68.0	97.0
chr2L	559611	559612	8.0	46.0	58.0
chr2L	560310	560311	17.0	68.0	94.0
chr2L	563819	563820	5.0	9.0	11.0
chr2L	564162	564163	40.0	71.0	85.0
chr2L	568121	568122	11.0	21.0	28.0
chr2L	568339	568340	21.0	27.0	36.0
chr2L	574264	574265	22.0	30.0	46.0
chr2L	574290	574291	29.0	41.0	53.0
chr2L	576896	576897	14.0	26.0	18.0
chr2L	588047	588048	4.0	11.0	3.0
chr2L	602812	602813	24.0	21.0	9.0
chr2L	609134	609135	15.0	12.0	7.0
chr2L	623106	623107	13.0	7.0	12.0
chr2L	625651	625652	16.0	8.0	4.0
chr2L	710567	710568	nan	7.0	2.0
chr2L	714983	714984	8.0	3.0	10.0
chr2L	724833	724834	1.0	9.0	5.0
chr2L	728361	728362	13.0	11.0	8.0
chr2L	744395	744396	16.0	18.0	10.0
chr2L	749944	749945	29.0	10.0	7.0
chr2L	779172	779173	20.0	23.0	14.0
chr2L	780481	780482	6.0	13.0	4.0
chr2L	784335	784336	1.0	7.0	3.0
chr2L	790798	790799	16.0	22.0	47.0
chr2L	810576	810577	17.0	34.0	27.0
chr2L	811583	811584	15.0	19.0	24.0
chr2L	815950	815951	30.0	46.0	23.0
chr2L	815992	815993	32.0	43.0	21.0
chr2L	817950	817951	19.0	19.0	14.0
chr2L	819508	819509	13.0	23.0	27.0
