#'chr'	'start'	'end'	'PolII'
chr2L	430977	431476	166.4949899799599
chr2L	471951	472450	207.27254509018036
chr2L	1047804	1048303	14.128256513026052
chr2L	1077566	1078065	239.79158316633266
chr2L	2885679	2886178	92.49098196392785
chr2L	3656704	3657203	48.05811623246493
chr2L	7157446	7157945	38.59719438877755
chr2L	7219784	7220283	44.22444889779559
chr2L	7496058	7496557	162.0380761523046
chr2L	7983947	7984446	199.15384615384616
chr2L	9166528	9167027	43.22044088176353
chr2L	20310969	20311468	89.47695390781563
chr2L	20797465	20797964	52.69739478957916
chr2L	20918682	20919181	66.87174348697395
chr2L	21757217	21757716	38.565130260521045
chr2L	22981566	22982065	12.535070140280562
chr2R	6168838	6169337	22.03206412825651
chr2R	7698653	7699152	117.01803607214428
chr2R	9503515	9504014	8.577154308617235
chr2R	10268766	10269265	8.925851703406813
chr2R	11451793	11452292	41.35070140280561
chr2R	12704922	12705421	110.23246492985972
chr2R	13824304	13824803	101.9498997995992
chr2R	13941861	13942360	87.49498997995993
chr2R	14526017	14526516	15.839679358717435
chr2R	14870822	14871321	16.304609218436873
chr2R	15816755	15817254	85.54108216432866
chr2R	16149873	16150372	141.34869739478958
chr2R	18611528	18612027	211.5370741482966
chr2R	21142012	21142511	117.9559118236473
chr2R	21379215	21379714	139.27054108216433
chr2R	24402431	24402930	101.03006012024048
chr2R	24537171	24537670	12.719438877755511
chr3L	129200	129699	48.23246492985972
chr3L	638319	638818	35.81763527054108
chr3L	2377405	2377904	36.79959919839679
chr3L	3336610	3337109	62.42685370741483
chr3L	5355674	5356173	35.51102204408818
chr3L	6495430	6495929	31.587174348697395
chr3L	7978796	7979295	109.53507014028057
chr3L	9855036	9855535	179.73547094188376
chr3L	17486868	17487367	325.3707414829659
chr3L	18801060	18801559	132.4248496993988
chr3R	6368039	6368538	47.44889779559118
chr3R	9394297	9394796	222.22444889779558
chr3R	10093511	10094010	192.8937875751503
chr3R	11650457	11650956	99.26052104208416
chr3R	12090363	12090862	37.2685370741483
chr3R	14244428	14244927	17.296593186372746
chr3R	16453572	16454071	96.91583166332666
chr3R	19094021	19094520	124.43687374749499
chr3R	19836568	19837067	77.07214428857715
chr3R	21520678	21521177	43.5751503006012
chr3R	22587505	22588004	64.61923847695391
chr3R	25472809	25473308	237.18236472945893
chr3R	29062790	29063289	81.33867735470942
chr3R	30806370	30806869	76.36072144288578
chr3R	32015271	32015770	9.591182364729459
chr4	501560	502059	191.11422845691382
chr4	912082	912581	5.767535070140281
chrX	1275035	1275534	83.12024048096193
chrX	2633702	2634201	55.142284569138276
chrX	3134620	3135119	70.45090180360721
chrX	3485400	3485899	19.196392785571142
chrX	5737782	5738281	102.31462925851703
chrX	6540521	6541020	9.072144288577155
chrX	10744694	10745193	344.3446893787575
chrX	11984838	11985337	6.084168336673347
chrX	12595797	12596296	48.1062124248497
chrX	16943040	16943539	41.02004008016032
chrX	18863700	18864199	111.79759519038076
chrX	19889811	19890310	42.811623246492985
