#'chr'	'start'	'end'	'PolII'
chr2L	476446	479688	39.954176466430184
chr2L	870465	877038	55.38258878387173
chr2L	1716244	1724388	19.62786349613212
chr2L	4361925	4380716	12.853728526411468
chr2L	5315290	5326683	9.359256453804322
chr2L	7069536	7084635	13.370413636634217
chr2L	8687226	8709611	28.246435126371207
chr2L	9125737	9163721	9.800637387286072
chr2L	9495474	9520696	9.983295569391414
chr2L	9934767	9938134	15.81535914970314
chr2L	13021868	13060140	15.577405445465411
chr2L	17384700	17409698	18.403703026801903
chr2L	18532025	18590342	12.699719889796484
chr2R	4691672	4729017	6.319380860610023
chr2R	7317924	7381899	11.083123497033437
chr2R	9123304	9132030	29.677188980250595
chr2R	10977956	11116378	11.8387941704921
chr2R	11577485	11616045	18.811166051102276
chr2R	13991203	14060356	13.392240659083805
chr2R	17007674	17015894	16.521076642335768
chr2R	17843442	17860582	24.35738660026359
chr3L	434083	540614	9.633597679051958
chr3L	2488804	2492613	50.189647007453104
chr3L	3071133	3090406	32.6336427700134
chr3L	3515751	3610521	10.719726049074831
chr3L	6949491	6955904	12.381645978437895
chr3L	7777105	7809825	24.05348732187327
chr3L	8827505	8891192	6.413963533964967
chr3L	10481412	10594012	5.151097459449263
chr3L	11078752	11093193	10.877941596049517
chr3L	17659818	17669234	12.32065827148535
chr3L	17950953	18064696	12.440160129427253
chr3L	22789233	22835194	15.497430291737379
chr3R	5270116	5350443	9.647940902706635
chr3R	8827068	8931896	36.07777364776036
chr3R	14391683	14481713	7.041594133970044
chr3R	16026079	16041796	16.605065361889327
chr3R	16458280	16469663	10.787499267914141
chr3R	17687818	17718350	38.63684655491119
chr3R	18414273	18545586	10.174690064676597
chr3R	21350846	21377401	28.831709476139668
chr3R	23118400	23124217	25.619160882614175
chr3R	24063077	24108960	15.393989287380473
chr3R	24557368	24582864	22.136060865963604
chr3R	25516118	25608423	7.306510489641018
chr3R	26106868	26130674	16.68730409894689
chr3R	26470078	26535217	10.914754883039404
chr3R	29214562	29219667	79.42741372156927
chr3R	30058311	30121798	8.448254149055725
chr4	69326	114270	5.7872380033315185
chrX	1575132	1664869	7.951640023574955
chrX	1773719	1853667	9.533313096665173
chrX	2278031	2293411	11.23122607731875
chrX	3671801	3701672	17.019283029835407
chrX	7884660	7886976	7.197158055075801
chrX	8560322	8570159	25.97680018132386
chrX	8907068	9029476	5.341354704858439
chrX	9093612	9103739	9.016965339056373
chrX	10233347	10263485	6.983204152864233
chrX	11112395	11124726	11.040509914497594
chrX	11430523	11454386	11.771470898370088
chrX	13079205	13090434	8.96258557180477
chrX	13783714	13811493	12.004525112520458
chrX	15297766	15319074	9.7328412342126
chrX	16599241	16610459	11.079045347817788
chrX	17160006	17200728	6.643384219652145
chrX	17862697	17887222	8.013796826505276
chrX	22455803	22470146	8.530719080376851
