#'chr'	'start'	'end'	'PolII'
chr2L	250574	251073	54.95390781563126
chr2L	1420204	1420703	145.95190380761522
chr2L	1651008	1651507	34.20040080160321
chr2L	1884372	1884871	126.45490981963928
chr2L	12822538	12823037	203.9058116232465
chr2L	16287481	16287980	485.5931863727455
chr2L	16532628	16533127	118.14028056112224
chr2L	16544766	16545265	12.128256513026052
chr2L	17450115	17450614	343.9458917835671
chr2L	18617006	18617505	27.927855711422847
chr2L	20734359	20734858	19.841683366733466
chr2L	21221062	21221561	54.014028056112224
chr2R	6214318	6214817	242.875751503006
chr2R	12980745	12981244	376.14629258517033
chr2R	13979916	13980415	17.861723446893787
chr2R	17216299	17216798	4.9579158316633265
chr2R	18357047	18357546	169.6192384769539
chr2R	19141382	19141881	54.829659318637276
chr3L	2554043	2554542	25.210420841683366
chr3L	2586291	2586790	174.84969939879758
chr3L	3224588	3225087	97.6753507014028
chr3L	8449672	8450171	85.15230460921843
chr3L	9398978	9399477	117.39278557114228
chr3L	11214255	11214754	36.258517034068134
chr3L	12514809	12515308	137.51703406813627
chr3L	14001877	14002376	119.75551102204409
chr3L	15826174	15826673	54.545090180360724
chr3L	16164452	16164951	116.76953907815631
chr3L	17557539	17558038	28.817635270541082
chr3L	18820426	18820925	48.633266533066134
chr3L	19086177	19086676	133.87775551102203
chr3L	21027185	21027684	166.78356713426854
chr3L	22407298	22407797	43.39679358717435
chr3R	9874431	9874930	105.92785571142285
chr3R	10388008	10388507	60.741482965931866
chr3R	14286654	14287153	140.65531062124248
chr3R	14697043	14697542	229.28456913827657
chr3R	14724012	14724511	191.1943887775551
chr3R	15973048	15973547	232.27655310621242
chr3R	18199346	18199845	78.80961923847696
chr3R	19245881	19246380	4.837675350701403
chr3R	20252520	20253019	171.56312625250501
chr3R	20756479	20756978	13.571142284569138
chr3R	21140489	21140988	15.525050100200401
chr3R	21295877	21296376	279.6673346693387
chr3R	21619072	21619571	426.37474949899797
chr3R	22720901	22721400	33.59719438877755
chr3R	29038906	29039405	75.03406813627255
chr3R	29503548	29504047	59.895791583166336
chr3R	30277682	30278181	30.605210420841683
chr3R	31404995	31405494	194.46693386773546
chrX	3176190	3176689	12.8937875751503
chrX	3719757	3720256	28.158316633266534
chrX	4116770	4117269	56.412825651302605
chrX	4322376	4322875	17.50300601202405
chrX	5084519	5085018	18.18637274549098
chrX	9163005	9163504	41.72745490981964
chrX	9355978	9356477	46.20040080160321
chrX	9686817	9687316	44.18436873747495
chrX	11369415	11369914	56.42084168336673
chrX	12582944	12583443	238.2184368737475
chrX	12897078	12897577	30.296593186372746
chrX	13285383	13285882	15.731462925851703
chrX	13624495	13624994	84.70140280561122
chrX	13822058	13822557	215.03406813627254
chrX	13990278	13990777	49.414829659318634
chrX	16637165	16637664	71.04809619238478
chrX	19297913	19298412	191.09018036072143
chrX	20510445	20510944	30.625250501002004
chrX	21323760	21324259	58.877755511022045
