#'chr'	'start'	'end'	'PolII'
chr2L	431227	448701	18.309451000812317
chr2L	458876	472200	29.75443001713188
chr2L	1008378	1048053	8.13767258767187
chr2L	1049674	1077815	14.454325883188922
chr2L	2885929	2954406	10.051159798351375
chr2L	3622074	3656953	18.54643492255501
chr2L	7098188	7157695	6.413175617575136
chr2L	7204538	7220033	12.415240310942112
chr2L	7472513	7496307	12.906726483708189
chr2L	7891187	7984196	10.481152128171091
chr2L	9166778	9250211	10.290820182129458
chr2L	20311219	20348386	17.195817933193617
chr2L	20797715	20814331	15.348831335622853
chr2L	20871335	20918931	11.705979224833737
chr2L	21740041	21757466	17.325199749538047
chr2L	22981816	22992951	8.233168178204723
chr2R	6087873	6169087	19.609623019719933
chr2R	7676540	7698902	17.79601620261679
chr2R	9503765	9541565	12.379320736793755
chr2R	10269016	10307024	14.882623583299546
chr2R	11452043	11465270	9.072021197851454
chr2R	12705172	12751545	9.987429283150037
chr2R	13819624	13824553	20.530187516906743
chr2R	13864237	13942110	11.996281596609935
chr2R	14526267	14587917	6.613312895078333
chr2R	14860936	14871071	12.988303808890578
chr2R	15762565	15817004	8.32378219941376
chr2R	16150123	16169519	13.172959594380162
chr2R	18554119	18611777	21.895767248607374
chr2R	21129463	21142261	22.100366023988123
chr2R	21355015	21379464	13.88001609726158
chr2R	24392129	24402680	27.240099160394227
chr2R	24537421	24558961	20.176142818747095
chr3L	129450	145895	33.111759799434566
chr3L	637486	638568	46.85925626411994
chr3L	2377655	2499226	12.180135136601557
chr3L	3336860	3368133	12.181144965324116
chr3L	5343619	5355923	18.881491318071397
chr3L	6495680	6550104	6.895297337476063
chr3L	7979046	8054147	8.482989498489799
chr3L	9839093	9855285	19.005328380035117
chr3L	17487118	17511693	19.52361511736834
chr3L	18750607	18801309	14.322537468447589
chr3R	6361672	6368288	12.448307358010775
chr3R	9367603	9394546	13.76438842983141
chr3R	10093761	10101356	55.40989914783117
chr3R	11633278	11650706	12.156457974474993
chr3R	12068375	12090612	10.485641580455656
chr3R	14234984	14244677	14.085279713846868
chr3R	16445007	16453821	32.12490903253425
chr3R	19044882	19094270	9.716127650756244
chr3R	19794073	19836817	7.778563924803774
chr3R	21520928	21528598	13.326666048736513
chr3R	22587755	22608842	9.627454510865665
chr3R	25347431	25473058	7.012946725352054
chr3R	29063040	29108948	12.687796401167795
chr3R	30789625	30806619	33.871266860525935
chr3R	31846987	32015520	11.070886217037849
chr4	501810	540874	23.57740506834975
chr4	867824	912331	8.999552598568236
chrX	1242740	1275284	7.532089582773948
chrX	2633952	2679553	21.082804521954717
chrX	3134870	3172221	8.036269123264278
chrX	3485650	3490915	6.2912034796007035
chrX	5719374	5738031	10.081360416671963
chrX	6540771	6589173	9.733459365026505
chrX	10711163	10744943	16.83966024748459
chrX	11931280	11985087	4.111964704042442
chrX	12596047	12609910	10.338422325062892
chrX	16943290	16956234	10.657322729630064
chrX	18863950	18884075	8.25391100954561
chrX	19886108	19890060	126.38470588028565
