chr3R	4174632	4186751	CG12581	12120	+
chr3R	4280221	4304604	cpx	24384	+
chr3R	4292274	4294840	Nepl11	2567	-
chr3R	4345015	4346646	hkb	1632	-
chr3R	4480812	4484215	CG14651	3404	+
chr3R	4491943	4558067	CG34357	66125	-
chr3R	4612870	4633304	5-HT2A	20435	+
chr3R	4876005	4878533	laf	2529	-
chr3R	4946078	4947278	lncRNA:CR45188	1201	+
chr3R	5077779	5087072	corto	9294	-
chr3R	5150908	5170121	dpr16	19214	+
chr3R	5378093	5392866	kkv	14774	-
chr3R	5414527	5458394	CG14669	43868	+
chr3R	5508842	5523328	Nmdar1	14487	-
chr3R	5665139	5669334	Xe7	4196	-
chr3R	5712975	5716805	cas	3831	-
chr3R	5847220	5848177	CG14676	958	+
chr3R	5862865	5959555	side-III	96691	-
chr3R	6330248	6331809	Osi18	1562	+
chr3R	6361672	6368288	CG42724	6617	-
chr3R	6478311	6495025	CG15186	16715	+
chr3R	6596625	6598022	CG1138	1398	-
chr3R	6661427	6678590	lab	17164	-
chr3R	6684445	6685157	Edg84A	713	+
chr3R	6707800	6742063	pb	34264	-
chr3R	6791836	6802428	Dfd	10593	+
chr3R	6823120	6849981	Scr	26862	-
chr3R	6896253	6999228	Antp	102976	-
chr3R	7000492	7001423	lncRNA:CR45899	932	+
chr3R	7054586	7058671	CG1979	4086	+
chr3R	7067401	7071624	CG1965	4224	+
chr3R	7094596	7124185	Alh	29590	-
chr3R	7112850	7117732	Mlp84B	4883	-
chr3R	7162808	7183702	sas	20895	+
chr3R	7186994	7200941	lap	13948	+
chr3R	7500951	7502376	Mics1	1426	-
chr3R	7658247	7694874	Nlg1	36628	+
chr3R	7799264	7802793	CG3014	3530	-
chr3R	7804665	7810014	CG2993	5350	-
chr3R	7814361	7855392	CG34384	41032	+
chr3R	8059284	8087049	mAChR-B	27766	+
chr3R	8112699	8114003	lncRNA:CR44331	1305	-
chr3R	8147368	8181444	grn	34077	-
chr3R	8225279	8232178	lncRNA:CR45551	6900	-
chr3R	8293843	8300978	CG9626	7136	-
chr3R	8364328	8477617	CG45263	113290	-
chr3R	8523944	8526667	CG31259	2724	+
chr3R	8578205	8629996	5-HT2B	51792	+
chr3R	8690980	8697822	hb	6843	-
chr3R	8827068	8931896	pyd	104829	-
chr3R	8950246	8963037	ich	12792	-
chr3R	9020348	9039471	neur	19124	-
chr3R	9335170	9337459	pasi2	2290	+
chr3R	9365398	9367763	Srr	2366	+
chr3R	9367603	9394546	FER	26944	-
chr3R	9461084	9493677	CG16779	32594	-
chr3R	9651179	9674643	CG9492	23465	-
chr3R	9771795	9774419	Whamy	2625	-
chr3R	9780064	9783054	CG12947	2991	+
chr3R	9874681	9995364	Glut4EF	120684	+
chr3R	10001554	10042895	Mical	41342	-
