#'chr'	'start'	'end'	'IgG'	'METTL3'	'PolII'
chr2L	419702	420201	18.663326653306612	29.167180514875906	103.19839679358718
chr2L	2855820	2856319	4.182364729458918	10.679474333281949	36.72945891783567
chr2L	4227449	4227948	4.258517034068136	7.02096500693695	18.02004008016032
chr2L	4458115	4458614	7.64128256513026	18.291255588099276	53.69138276553106
chr2L	5070707	5071206	4.00421052631579	9.142939725605055	4.993987975951904
chr2L	6488840	6489339	4.7374749498997994	20.488833436102976	42.96192384769539
chr2L	6557550	6558049	16.663326653306612	45.60723369816556	63.68937875751503
chr2L	8162203	8162702	18.028056112224448	69.30083243409896	241.16432865731463
chr2L	8211097	8211596	10.412825651302605	20.399337135810082	35.95791583166333
chr2L	8364413	8364912	10.683366733466935	59.54367388623402	193.1302605210421
chr2L	9699541	9700040	9.88888888888889	34.07267419454293	136.3006012024048
chr2L	9897303	9897802	9.875816993464053	16.154279713272697	74.87575150300601
chr2L	10408102	10408601	6.98997995991984	11.253083089255435	18.837675350701403
chr2L	11003940	11004439	8.376753507014028	7.535998835056479	14.266533066132265
chr2L	16719682	16720181	9.735470941883767	27.137419068907043	129.45490981963928
chr2L	16731884	16732383	11.520215633423181	13.055016010229638	29.595190380761522
chr2L	18443028	18443527	9.77755511022044	25.831432094959148	49.4248496993988
chr2L	18951588	18952087	7.302605210420841	12.621714583012176	38.02004008016032
chr2L	19009057	19009556	9.591182364729459	33.88002928934793	62.56112224448898
chr2L	20463195	20463694	11.7875751503006	28.061854478187144	31.17434869739479
chr2L	20925898	20926397	13.114228456913828	19.644934098967166	13.997995991983968
chr2L	22247626	22248125	20.492985971943888	29.36122244488978	57.64529058116233
chr2R	4187878	4188377	7.789579158316633	11.351482207568464	12.94188376753507
chr2R	4516209	4516708	6.1062124248497	14.943396408201018	18.420841683366735
chr2R	8899991	8900490	30.34669338677355	32.6549445043934	61.81763527054108
chr2R	9586943	9587442	10.887473460721868	15.267641051333436	32.46693386773547
chr2R	10810687	10811186	12.54308617234469	30.758362879605365	42.10821643286573
chr2R	10821426	10821925	14.130260521042084	23.76363303530137	28.428857715430862
chr2R	12200566	12201065	15.004008016032063	61.965479034993066	113.60521042084169
chr2R	13572510	13573009	4.385964912280702	9.499614613843073	9.553106212424849
chr2R	14216378	14216877	2.563106796116505	5.275474024973023	14.823647294589179
chr2R	14748973	14749472	12.043795620437956	23.864999229227685	62.67134268537074
chr2R	16570981	16571480	1.2555205047318612	10.670215430861724	22.811623246492985
chr2R	16773666	16774165	10.274549098196394	11.417903113920149	16.585170340681362
chr2R	16867972	16868471	6.072144288577154	15.318868506243255	59.66332665330661
chr2R	17633918	17634417	10.909819639278558	19.149366039771856	26.85571142284569
chr2R	18834526	18835025	13.763043478260869	21.93561160783105	58.52905811623246
chr2R	19442092	19442591	4.312625250501002	19.401350778480037	41.99198396793587
chr2R	20263729	20264228	5.703406813627255	16.770049714814245	39.763527054108216
chr2R	21293518	21294017	5.12625250501002	19.54063897024819	61.234468937875754
chr2R	21685033	21685532	10.793587174348698	23.46774317866502	36.496993987975955
chr2R	22605495	22605994	6.745490981963928	23.08736704177586	52.20240480961924
chr2R	22641170	22641669	3.5856236786469347	13.421439031909975	19.122244488977955
chr2R	23547989	23548488	17.118236472945892	37.75563627254509	74.36072144288578
chr2R	24057548	24058047	9.978201634877385	39.97020001541544	62.4689378757515
chr2R	24060128	24060627	3.2064128256513027	9.818132515916057	30.759519038076153
chr2R	24062182	24062681	2.5267175572519083	9.586875674425775	34.371084337349394
chr2R	24903686	24904185	11.855711422845692	33.06030329890551	97.76953907815631
chr2R	24969298	24969797	9.122244488977955	20.50415253584091	47.18236472945892
chr3L	1331494	1331993	9.637274549098196	18.493207568984122	29.57314629258517
chr3L	1668405	1668904	14.2124248496994	15.906206644057345	41.40480961923848
chr3L	3222711	3223210	10.042084168336673	47.00366116849082	117.56112224448898
chr3L	3223091	3223590	18.733466933867735	106.67963812239864	206.85170340681364
chr3L	7241102	7241601	12.20440881763527	11.69534260829351	48.72945891783567
chr3L	8600756	8601255	16.66733466933868	33.21277169724063	77.23246492985972
chr3L	9509767	9510266	7.94188376753507	26.98359218436874	82.54509018036072
chr3L	9511282	9511781	19.112224448897795	67.11440188068443	239.2745490981964
chr3L	11822601	11823100	2.130260521042084	11.076894172961307	18.060120240480963
chr3L	13023102	13023601	5.8537074148296595	9.637313087713888	29.717434869739478
chr3L	16804744	16805243	13.066132264529058	19.52738168644982	13.1062124248497
chr3L	17425227	17425726	17.529058116232466	37.09602859565284	84.85571142284569
chr3L	17654367	17654866	16.204408817635272	26.360817789425006	46.322645290581164
chr3L	20000394	20000893	3.4875	3.164666504381694	4.521613832853026
chr3L	21539198	21539697	8.953907815631263	20.293009095113305	53.434869739478955
chr3L	23339076	23339575	7.264529058116232	11.331191228611068	18.292585170340683
chr3R	5466852	5467351	6.034068136272545	8.813001002004007	19.585170340681362
chr3R	9400977	9401476	13.667334669338677	37.43993756744258	68.51703406813627
