#'chr'	'start'	'end'	'PolII'
chr2L	479439	479938	228.4809619238477
chr2L	870215	870714	57.394789579158314
chr2L	1724139	1724638	24.08817635270541
chr2L	4361675	4362174	4.745490981963928
chr2L	5326434	5326933	20.148296593186373
chr2L	7084386	7084885	59.26452905811623
chr2L	8709362	8709861	80.61523046092185
chr2L	9125487	9125986	57.791583166332664
chr2L	9495224	9495723	44.84168336673347
chr2L	9937885	9938384	44.519038076152306
chr2L	13059891	13060390	310.07014028056113
chr2L	17384450	17384949	276.4909819639279
chr2L	18590093	18590592	6.836693548387097
chr2R	4728768	4729267	16.609218436873746
chr2R	7381650	7382149	180.8436873747495
chr2R	9131781	9132280	32.3066132264529
chr2R	11116129	11116628	8.24248496993988
chr2R	11615796	11616295	42.61322645290581
chr2R	13990953	13991452	50.06012024048096
chr2R	17015645	17016144	32.06813627254509
chr2R	17843192	17843691	3.012024048096192
chr3L	540365	540864	152.07014028056113
chr3L	2488554	2489053	80.76553106212425
chr3L	3070883	3071382	146.40280561122245
chr3L	3515501	3516000	84.70741482965931
chr3L	6955655	6956154	38.811623246492985
chr3L	7809576	7810075	214.70340681362725
chr3L	8827255	8827754	77.06012024048096
chr3L	10481162	10481661	11.46693386773547
chr3L	11092944	11093443	46.48697394789579
chr3L	17668985	17669484	59.14829659318637
chr3L	18064447	18064946	8.581162324649299
chr3L	22834945	22835444	69.03006012024048
chr3R	5350194	5350693	3.701793721973094
chr3R	8931647	8932146	71.65330661322645
chr3R	14481464	14481963	150.36072144288576
chr3R	16025829	16026328	173.3326653306613
chr3R	16469414	16469913	12.983967935871744
chr3R	17718101	17718600	56.02204408817635
chr3R	18545337	18545836	11.276553106212425
chr3R	21377152	21377651	41.61322645290581
chr3R	23118150	23118649	50.967935871743485
chr3R	24108711	24109210	102.77154308617234
chr3R	24582615	24583114	97.33266533066133
chr3R	25515868	25516367	270.56913827655313
chr3R	26106618	26107117	82.98597194388778
chr3R	26534968	26535467	281.17234468937875
chr3R	29214312	29214811	347.9498997995992
chr3R	30058061	30058560	36.39679358717435
chr4	69076	69575	66.99799599198397
chrX	1574882	1575381	4.825651302605211
chrX	1773469	1773968	17.732793522267208
chrX	2293162	2293661	115.04809619238478
chrX	3671551	3672050	21.997995991983966
chrX	7884410	7884909	6.478957915831663
chrX	8560072	8560571	87.5811623246493
chrX	8906818	8907317	32.65931863727455
chrX	9103490	9103989	60.92785571142284
chrX	10263236	10263735	19.753507014028056
chrX	11124477	11124976	68.21042084168337
chrX	11454137	11454636	92.44689378757515
chrX	13090185	13090684	30.414829659318638
chrX	13783464	13783963	127.10821643286573
chrX	15297516	15298015	36.687374749499
chrX	16598991	16599490	37.69539078156313
chrX	17159756	17160255	43.08817635270541
chrX	17886973	17887472	102.5811623246493
chrX	22455553	22456052	31.501002004008015
