#'chr'	'start'	'end'	'IgG'	'METTL3'	'PolII'
chr2L	159031	159032	31.0	122.0	236.0
chr2L	250823	250824	5.0	32.0	53.0
chr2L	431226	431227	9.0	42.0	219.0
chr2L	472200	472201	26.0	80.0	219.0
chr2L	479688	479689	18.0	102.0	208.0
chr2L	870464	870465	3.0	32.0	78.0
chr2L	1048053	1048054	26.0	33.0	19.0
chr2L	1077815	1077816	30.0	149.0	261.0
chr2L	1420453	1420454	26.0	105.0	222.0
chr2L	1651257	1651258	19.0	30.0	56.0
chr2L	1724388	1724389	8.0	15.0	21.0
chr2L	1884621	1884622	10.0	114.0	169.0
chr2L	2178754	2178755	8.0	38.0	104.0
chr2L	2885928	2885929	4.0	174.0	83.0
chr2L	3656953	3656954	4.0	12.0	51.0
chr2L	3902860	3902861	13.0	2.0	nan
chr2L	4361924	4361925	11.0	6.0	4.0
chr2L	5100876	5100877	6.0	4.0	3.0
chr2L	5326683	5326684	4.0	44.0	25.0
chr2L	7084635	7084636	11.0	40.0	135.0
chr2L	7157695	7157696	3.0	24.0	48.0
chr2L	7220033	7220034	5.0	32.0	39.0
chr2L	7496307	7496308	20.0	48.0	226.0
chr2L	7984196	7984197	38.0	192.0	281.0
chr2L	8709611	8709612	6.0	102.0	77.0
chr2L	8825644	8825645	19.0	141.0	206.0
chr2L	9125736	9125737	8.0	14.0	63.0
chr2L	9166777	9166778	12.0	47.0	52.0
chr2L	9495473	9495474	6.0	23.0	59.0
chr2L	9938134	9938135	41.0	58.0	62.0
chr2L	11809438	11809439	17.0	41.0	62.0
chr2L	12546611	12546612	16.0	428.0	150.0
chr2L	12822787	12822788	31.0	154.0	364.0
chr2L	13060140	13060141	40.0	112.0	258.0
chr2L	13550138	13550139	16.0	140.0	388.0
chr2L	16287730	16287731	10.0	153.0	593.0
chr2L	16532877	16532878	7.0	61.0	80.0
chr2L	16545015	16545016	9.0	15.0	7.0
chr2L	17384699	17384700	26.0	131.0	335.0
chr2L	17450364	17450365	10.0	110.0	459.0
chr2L	18590342	18590343	5.0	7.0	8.0
chr2L	18617255	18617256	12.0	19.0	37.0
chr2L	20311218	20311219	19.0	32.0	105.0
chr2L	20734608	20734609	2.0	4.0	17.0
chr2L	20797714	20797715	3.0	27.0	67.0
chr2L	20918931	20918932	30.0	71.0	59.0
chr2L	21221311	21221312	16.0	45.0	65.0
